Unnamed: 0,State,City,Name,Type,Type_encoded,combined_features
132,Maharashtra,Tarkarli,Tarkarli Beach,Beach,3,Beach Tarkarli Maharashtra
133,Maharashtra,Satara,Kaas Plateau,Valley,70,Valley Satara Maharashtra
134,Maharashtra,Matheran,Echo Point,Viewpoint,71,Viewpoint Matheran Maharashtra
135,Maharashtra,Ajanta,Ellora Caves,Cave,8,Cave Ajanta Maharashtra
136,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,63,Temples Khajuraho Madhya Pradesh
137,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,32,Monument Bhopal Madhya Pradesh
138,Madhya Pradesh,Indore,Rajwada Palace,Palace,40,Palace Indore Madhya Pradesh
139,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,17,Fort Gwalior Madhya Pradesh
140,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,62,Temple Ujjain Madhya Pradesh
141,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,75,Waterfall Jabalpur Madhya Pradesh
142,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,75,Waterfall Pachmarhi Madhya Pradesh
143,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,76,Wildlife Sanctuary Kanha Madhya Pradesh
144,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,36,National Park Bandhavgarh Madhya Pradesh
145,Madhya Pradesh,Orchha,Orchha Fort,Fort,17,Fort Orchha Madhya Pradesh
146,Madhya Pradesh,Mandu,Jahaz Mahal,Site,55,Site Mandu Madhya Pradesh
147,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,42,Prehistoric Site Bhimbetka Madhya Pradesh
148,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,62,Temple Amarkantak Madhya Pradesh
149,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,75,Waterfall Chitrakoot Madhya Pradesh
150,Himachal Pradesh,Shimla,The Ridge,Scenic Point,51,Scenic Point Shimla Himachal Pradesh
151,Himachal Pradesh,Manali,Solang Valley,Valley,70,Valley Manali Himachal Pradesh
152,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,62,Temple dalhousie Himachal Pradesh
153,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,25,Lake Dalhousie Himachal Pradesh
154,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,31,Monastery Spiti Valley Himachal Pradesh
